Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
0.42,1.12,0.98,0.86,1.03,2.09,3.1,7.91,8.44,4.98,3.99,4.49,0.96,3.36,2.11,0.98,1.12,3.9,10.48,6.18,4.39,2.54,2.91,5.26,1.89
0.42,1.12,0.98,0.86,1.04,2.11,3.06,7.91,8.44,4.99,3.99,4.49,0.98,3.16,2.11,0.95,1.1,3.78,10.48,6.18,4.39,2.54,2.91,5.26,1.89
0.42,1.12,0.98,0.88,1.06,2.15,2.92,7.91,8.44,4.99,3.99,4.5,1.01,3.04,2.14,0.93,1.11,3.61,10.49,6.18,4.4,2.54,2.91,5.27,1.89
0.42,1.12,0.99,0.9,1.06,2.17,2.78,7.91,8.44,5,3.99,4.5,0.99,3.04,2.15,0.93,1.18,3.54,10.49,6.18,4.4,2.54,2.91,5.27,1.89
0.42,1.12,0.99,0.92,1.07,2.19,2.76,7.92,8.44,5,4,4.5,0.99,3.06,2.14,0.97,1.15,3.57,10.49,6.18,4.4,2.54,2.91,5.27,1.89
0.42,1.12,0.99,0.94,1.08,2.24,2.77,7.92,8.44,5,4.02,4.5,0.98,3.06,2.12,0.98,1.13,3.6,10.49,6.18,4.41,2.55,2.92,5.28,1.89
0.43,1.12,0.99,0.96,1.08,2.26,2.77,7.92,8.44,5,4.34,4.5,0.97,3.06,2.12,0.97,1.12,3.6,10.49,6.18,4.41,2.55,2.92,5.28,1.9
0.42,1.12,0.99,1.01,1.09,2.26,2.77,7.92,8.44,5.01,5.17,4.51,0.96,3.06,2.11,0.95,1.11,3.6,10.5,6.18,4.42,2.55,2.92,5.28,1.91
0.42,1.12,0.99,1.01,1.09,2.26,2.78,7.92,8.44,5.01,5.75,4.51,0.97,3.07,2.11,0.94,1.15,3.61,10.5,6.19,4.42,2.55,2.92,5.29,1.91
0.42,1.12,0.99,1.02,1.1,2.26,2.78,7.92,8.48,5.01,5.84,4.51,0.99,3.07,2.11,0.97,1.19,3.61,10.5,6.19,4.42,2.55,2.92,5.29,1.91
0.42,1.12,0.99,1.02,1.1,2.26,2.79,7.92,8.48,5.01,5.83,4.51,0.99,3.06,2.41,0.99,1.17,3.61,10.5,6.19,4.42,2.55,2.93,5.3,1.91
0.42,1.13,0.99,1.03,1.11,2.28,2.79,7.92,8.48,5.02,5.61,4.52,0.98,3.09,2.86,0.97,1.13,3.61,10.5,6.19,4.43,2.56,2.92,5.3,2.31
0.43,1.13,0.99,1.04,1.12,2.28,2.79,7.92,8.48,5.02,5.62,4.52,0.97,3.16,2.98,0.96,1.12,3.61,10.5,6.19,4.43,2.56,2.93,5.3,3.04
0.43,1.13,0.99,1.05,1.12,2.29,2.79,7.92,8.48,5.02,5.64,4.52,0.99,3.18,2.93,0.95,1.16,3.61,10.51,6.19,4.43,2.56,2.93,5.3,3.19
0.42,1.13,0.99,1.05,1.12,2.29,2.79,7.93,8.48,5.02,5.66,4.53,1,3.18,2.89,0.94,1.21,3.61,10.51,6.19,4.44,2.56,2.93,5.31,3.18
0.43,1.13,0.99,1.06,1.13,2.3,2.79,7.93,8.49,5.03,5.68,4.53,0.99,3.18,2.82,0.98,1.19,3.61,10.51,6.19,4.44,2.56,2.93,5.31,3.16
0.43,1.13,0.99,1.07,1.13,2.3,2.79,7.93,8.49,5.03,5.73,4.53,0.98,3.17,2.79,1,1.17,3.61,10.51,6.19,4.44,2.56,2.93,5.31,3.15
