Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un
0.63,1.86,1.4,1.29,1.29,4.23,4.15,12.27,17.8,6.9,7.53,7.46
0.63,1.86,1.4,1.3,1.3,4.24,4.15,12.28,17.07,6.9,7.53,7.46
0.63,1.86,1.4,1.3,1.3,4.24,4.15,12.28,16.8,6.91,7.53,7.46
0.63,1.86,1.4,1.31,1.3,4.24,4.15,12.28,16.83,6.91,7.53,7.47
0.63,1.86,1.4,1.43,1.3,4.24,4.15,12.29,16.9,6.92,7.54,7.47
0.63,1.86,1.4,1.86,1.36,4.24,4.15,12.29,16.91,6.92,7.54,7.47
0.64,1.86,1.4,2.22,2.15,4.25,4.15,12.29,16.91,6.93,7.54,7.47
0.64,1.86,1.4,2.29,2.29,4.25,4.15,12.29,16.91,6.93,7.54,7.47
0.74,1.86,1.4,2.29,2.3,4.25,4.15,12.29,16.92,6.94,7.54,7.47
0.87,1.86,1.4,2.24,2.26,4.25,4.15,12.29,16.92,6.94,7.54,7.47
0.88,1.86,1.4,2.19,2.2,4.25,4.15,12.29,16.92,6.94,7.55,7.47
0.88,1.87,1.41,2.21,2.19,4.25,4.16,12.29,16.93,6.95,7.55,7.47
0.87,1.87,1.41,2.23,2.21,4.26,4.17,12.29,16.93,6.95,7.55,7.48
0.87,1.87,1.41,2.25,2.22,4.26,4.17,12.3,16.93,6.95,7.55,7.47
0.84,1.87,1.41,2.27,2.24,4.26,4.17,12.3,16.93,6.96,7.55,7.48
0.82,1.87,1.41,2.31,2.28,4.26,4.17,12.3,16.93,6.96,7.55,7.49
0.82,1.87,1.41,2.33,2.31,4.26,4.17,12.3,16.94,6.97,7.55,7.49
0.83,1.87,1.41,2.33,2.32,4.26,4.17,12.3,16.95,6.97,7.56,7.5
0.83,1.87,1.41,2.32,2.32,4.27,4.17,12.3,16.97,6.97,7.56,7.51
0.83,1.87,1.41,2.32,2.32,4.27,4.17,12.3,16.98,6.98,7.56,7.52
0.83,1.87,1.41,2.33,2.32,4.27,4.17,12.3,16.98,6.98,7.56,7.52
0.83,1.87,1.41,2.34,2.32,4.27,4.17,12.3,16.98,6.98,7.56,7.52
0.83,1.87,1.41,2.34,2.33,4.27,4.17,12.33,16.98,6.99,7.56,7.52
0.83,1.87,1.41,2.35,2.33,4.27,4.17,13.51,16.98,6.99,7.56,7.51
0.83,1.87,1.41,2.35,2.34,4.27,4.17,17.47,16.99,7,7.56,7.52
0.83,1.87,1.41,2.35,2.34,4.27,4.17,17.42,16.99,7,7.56,7.51
0.83,1.87,1.41,2.36,2.34,4.27,4.17,17.35,16.99,7,7.57,7.51
0.83,1.88,1.41,2.36,2.34,4.27,4.17,17.31,16.99,7,7.57,7.51
0.83,1.88,1.41,2.37,2.35,4.27,4.17,17.28,16.99,7,7.57,7.52
0.83,1.91,1.41,2.37,2.35,4.28,4.17,17.01,16.99,7.01,7.57,7.52
0.83,2.25,1.41,2.37,2.35,4.28,4.18,16.37,16.99,7.01,7.57,7.51
0.83,2.65,1.41,2.38,2.36,4.28,4.18,16.17,16.99,7.01,7.57,7.52
0.83,2.7,1.41,2.38,2.36,4.28,4.18,16.28,17,7.01,7.59,7.52
0.83,2.7,1.41,2.38,2.36,1.9,4.18,16.31,17,7.02,7.69,7.52
0.83,2.7,1.41,2.38,2.37,0.17,4.18,16.34,17,7.02,7.99,7.52
0.83,2.71,1.41,2.39,2.37,0.13,4.18,16.36,17,7.02,8.35,7.52
0.83,2.65,1.41,2.39,2.37,0.17,4.18,16.37,17,7.02,8.63,7.52
0.83,2.58,1.42,2.39,2.37,0.2,4.18,16.38,17,7.02,8.78,7.52
0.83,2.57,1.41,2.39,2.38,0.21,4.18,16.38,17,7.02,8.87,7.52
0.83,2.57,1.41,2.4,2.38,0.22,4.18,16.39,17,7.03,8.93,7.52
0.83,2.58,1.41,2.4,2.38,0.23,4.18,16.39,17,7.1,8.97,7.52
0.84,2.58,1.41,2.4,2.38,0.23,4.18,16.41,17,7.01,9,7.52
0.84,2.58,1.42,2.4,2.38,0.23,4.18,16.41,17,6.8,9.02,7.51
0.83,2.59,1.42,2.4,2.38,0.23,4.19,16.42,17,6.96,9.03,7.52
0.84,2.59,1.42,2.41,2.39,0.23,4.19,16.42,17,7.02,9.04,7.52
0.84,2.59,1.42,2.41,2.39,0.22,4.19,16.43,17.01,7.01,9.05,7.52
0.84,2.59,1.42,2.41,2.39,0.22,4.19,16.43,17.01,7.03,9.05,7.52
0.84,2.6,1.42,2.41,2.39,0.22,4.19,16.44,17.01,7.07,9.06,7.52
0.84,2.6,1.42,2.41,2.4,0.22,4.19,16.44,17.02,7.11,9.07,7.52
0.84,2.6,1.42,2.42,2.4,0.21,4.19,16.45,17.04,7.18,9.07,7.52
0.84,2.6,1.42,2.42,2.4,0.21,4.19,16.45,17.05,7.21,9.08,7.52
0.84,2.6,1.43,2.42,2.4,0.2,4.19,16.46,17.05,7.23,9.09,7.52
0.84,2.61,1.49,2.42,2.4,0.2,4.19,16.46,17.05,7.25,9.09,7.52
0.83,2.61,1.63,2.42,2.4,0.2,4.19,16.49,17.05,7.28,9.1,7.51
0.83,2.61,1.72,2.42,2.41,0.19,4.19,16.5,17.05,7.32,9.1,7.52
0.83,2.61,1.73,2.43,2.41,0.19,4.19,16.51,17.05,7.36,9.1,7.52
0.83,2.61,1.73,2.43,2.41,0.18,4.19,16.51,17.05,7.37,9.11,7.52
0.83,2.62,1.72,2.43,2.41,0.18,4.19,16.52,17.05,7.38,9.11,7.52
0.83,2.62,1.72,2.43,2.41,0.18,4.19,16.52,17.1,7.39,9.12,7.52
0.83,2.62,1.72,2.43,2.41,0.17,4.2,16.53,18.57,7.4,9.12,7.52
0.83,2.62,1.72,2.43,2.41,0.17,4.19,16.53,21.52,7.41,9.12,7.52
0.83,2.62,1.73,2.43,2.42,0.17,4.19,16.53,22.1,7.42,9.13,7.52
0.83,2.62,1.73,2.44,2.42,0.17,4.19,16.54,22.03,7.43,9.13,7.52
0.83,2.62,1.73,2.44,2.42,0.16,4.19,16.54,21.96,7.44,9.13,7.52
0.83,2.63,1.73,2.44,2.42,0.16,4.2,16.54,21.93,7.45,9.13,7.52
0.83,2.63,1.73,2.44,2.42,0.16,4.2,16.54,21.31,7.46,9.14,7.52
0.83,2.63,1.74,2.44,2.42,0.16,4.2,16.54,20.93,7.47,9.14,7.52
0.83,2.63,1.74,2.44,2.42,0.15,4.2,16.56,20.94,7.48,9.14,8.38
0.83,2.63,1.74,2.44,2.43,0.15,4.2,16.58,20.98,7.49,9.15,9.5
0.83,2.63,1.74,2.44,2.43,0.15,4.2,16.59,21,7.5,9.15,10.08
0.85,2.63,1.74,2.45,2.43,0.14,4.2,16.59,21.03,7.5,9.15,10.13
0.98,2.63,1.74,2.45,2.43,0.14,4.2,16.59,21.04,7.51,9.15,10.09
1.06,2.63,1.74,2.45,2.43,0.14,4.2,16.59,21.04,7.51,9.16,9.94
1.06,2.64,1.75,2.45,2.43,0.14,4.2,16.6,21.04,7.52,9.16,9.84
1.06,2.64,1.75,2.45,2.43,0.14,4.2,16.6,21.05,7.53,9.16,9.85
1.06,2.64,1.75,2.45,2.43,0.13,4.2,16.6,21.05,7.54,9.16,9.87
1.05,2.64,1.75,2.45,2.43,0.13,4.2,16.6,21.05,7.54,9.16,9.93
1.02,2.64,1.75,2.45,2.44,0.13,4.2,16.61,21.06,7.55,9.17,9.95
1.02,2.64,1.75,2.47,2.44,0.13,4.2,16.61,21.06,7.55,9.17,9.98
