Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
15.02,3.2,12.86,1.87,14.73,3.85
15.02,3.2,12.86,1.87,14.73,3.85
15.03,3.2,12.87,1.87,14.73,3.85
15.03,3.2,12.87,1.87,14.73,3.85
15.03,3.2,12.87,1.87,14.73,3.85
15.03,3.2,12.87,1.87,14.74,3.85
15.03,3.2,12.87,1.87,14.74,3.85
15.03,3.2,12.87,1.87,14.74,3.85
,3.2,12.87,1.87,14.74,3.85
,3.2,12.88,1.87,14.74,3.85
,3.2,12.88,1.87,14.74,3.85
,3.2,12.88,1.87,14.74,3.85
,3.2,12.89,1.87,14.74,3.85
,3.2,12.89,1.87,14.75,3.85
,3.2,12.89,1.87,14.76,3.85
,3.2,12.89,1.87,14.76,3.85
,3.2,12.89,1.87,14.76,3.85
,3.2,12.89,1.87,14.76,3.85
,3.2,12.89,1.86,14.76,3.85
,3.2,12.89,1.87,14.76,3.85
,3.2,12.89,1.86,14.76,3.85
,3.2,12.89,1.86,14.76,3.85
,3.2,12.88,1.86,14.76,3.85
,3.19,12.88,1.86,14.77,3.85
,3.2,12.88,1.86,14.77,3.85
,3.2,12.88,1.86,14.77,3.85
,3.2,12.9,1.86,14.77,3.85
,3.19,12.92,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,3.19,12.94,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,3.19,12.94,1.86,14.77,3.85
,3.19,12.94,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,3.19,12.94,1.86,14.77,3.86
,3.19,12.94,1.86,14.77,3.86
,3.19,12.93,1.86,14.77,3.86
,3.19,12.93,1.86,14.77,3.85
,3.19,12.93,1.86,14.77,3.85
,,12.93,1.86,14.77,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
